id,diva_field,file_name,year,month,day,mode,sample_type,sample_id,en_field,chem_field,plant_field,species_code,tune_page,project_name,ms_method,uplc_method,ms_mode,asoc_blank,asoc_rti,rti_pass,notes,all_inga,chemocoding,raw_check,mzxml,updated,error message
1977,DN1943,DN1943,2016,Apr,14,Negative,Sample,EN1943,1943,cLEG896,,IngU,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1943""}"
1978,DN2133,DN2133,2016,Apr,14,Negative,Sample,EN2133,2133,cFG912,,N1,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2133""}"
1979,DN2134,DN2134,2016,Apr,14,Negative,Sample,EN2134,2134,cFG710,,N34,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2134""}"
1980,DN2135,DN2135,2016,Apr,14,Negative,Sample,EN2135,2135,cLEG839,,ZYGL,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_346,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2135""}"
1982,DN2137,DN2137,2016,Apr,14,Negative,Sample,EN2137,2137,cLEG841,,ZYGL,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2137""}"
1983,DN2138,DN2138,2016,Apr,14,Negative,Sample,EN2138,2138,cLEG843,,ZYGL,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2138""}"
1984,DN2139,DN2139,2016,Apr,14,Negative,Sample,EN2139,2139,cLA3052,,LA2,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2139""}"
1985,DN2140,DN2140,2016,Apr,14,Negative,Sample,EN2140,2140,cT181,711,T07,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2140""}"
1986,DN2141,DN2141,2016,Apr,14,Negative,Sample,EN2141,2141,cFG573,47,N20,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2141""}"
1987,DN2142,DN2142,2016,Apr,14,Negative,Sample,EN2142,2142,cLA131,,LA34,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_171,RN17_347,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2142""}"
