id,diva_field,file_name,year,month,day,mode,sample_type,sample_id,en_field,chem_field,plant_field,species_code,tune_page,project_name,ms_method,uplc_method,ms_mode,asoc_blank,asoc_rti,rti_pass,notes,all_inga,chemocoding,raw_check,mzxml,updated,error message
2050,DN2193,DN2193,2016,Apr,16,Negative,Sample,EN2193,2193,cM162,,M32,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2193""}"
2051,DN2194,DN2194,2016,Apr,16,Negative,Sample,EN2194,2194,cFG151,,N27,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2194""}"
2052,DN2136,DN2136,2016,Apr,16,Negative,Sample,EN2136,2136,cT1153,1970,T07,YCA318 2015_PM_NEG_2015_07_16,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_173,RN17_355,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2136""}"
2090,QC_all_umb_1,QC_all_umb_1,2016,Aug,5,NEG,QC,,0,,#N/A,,YCA318 2016_PM,2016_umbeliffera_accross_sites.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2102,QC_all_umb_2,QC_all_umb_2,2016,Aug,5,NEG,QC,,0,,#N/A,#N/A,YCA318 2016_PM,2016_umbeliffera_accross_sites.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,,,RN18_387,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2114,QC_all_umb_3,QC_all_umb_3,2016,Aug,5,NEG,QC,,0,,#N/A,#N/A,YCA318 2016_PM,2016_umbeliffera_accross_sites.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,,,RN18_388,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2118,QC_all_umb_4,QC_all_umb_4,2016,Aug,6,NEG,QC,,0,,#N/A,#N/A,YCA318 2016_PM,2016_umbeliffera_accross_sites.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,,,RN18_388,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2134,QC_all_umb_5,QC_all_umb_5,2016,Aug,5,NEG,QC,,0,,#N/A,#N/A,YCA318 2016_PM,2016_umbeliffera_accross_sites.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,,,RN18_391,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2149,QC_all_umb_6,QC_all_umb_6,2016,Aug,5,NEG,QC,,0,,#N/A,#N/A,YCA318 2016_PM,2016_umbeliffera_accross_sites.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2154,JL_SEQ_1,JL_SEQ_1,2016,Aug,19,NEG,Sample,,0,,#N/A,#N/A,YCA318 2016_PM,2014_all_Inga.PRO,2016_08_19_JL_Seq_ms,2016_08_19_JL_Seq_45min,0,BN_JL_1,RN18_387,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2155,DN2226,DN2226_2,2016,Aug,19,NEG,Sample,EN2226,2226,cFG997,10831,N54,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2226""}"
2156,DN2213,DN2213_2,2016,Aug,19,NEG,Sample,EN2213,2213,cM748,1277,M18,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2213""}"
2157,DN2310,DN2310_2,2016,Aug,19,NEG,Sample,EN2310,2310,cFG1054,11135,N54,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2310""}"
2158,DN2225,DN2225_2,2016,Aug,19,NEG,Sample,EN2225,2225,cFG812,4153,N50,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2225""}"
2159,DN2224,DN2224_2,2016,Aug,19,NEG,Sample,EN2224,2224,cFG634,209,N50,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2224""}"
2160,DN2313,DN2313_2,2016,Aug,19,NEG,Sample,EN2313,2313,cT192,722,T35,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2313""}"
2161,DN2315,DN2315_2,2016,Aug,19,NEG,Sample,EN2315,2315,cFG974,10780,N53,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2315""}"
2162,DN2311,DN2311_2,2016,Aug,19,NEG,Sample,EN2311,2311,cFG105,3267,N48,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2311""}"
2163,DN2314,DN2314_2,2016,Aug,19,NEG,Sample,EN2314,2314,cT262,818,T42,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2314""}"
2164,DN2211,DN2211_2,2016,Aug,19,NEG,Sample,EN2211,2211,cT794,1529,T23,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2211""}"
2165,DN2210,DN2210_2,2016,Aug,19,NEG,Sample,EN2210,2210,cT1086,1839,T76,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2210""}"
2166,DN2308,DN2308_2,2016,Aug,19,NEG,Sample,EN2308,2308,cT261,818,T42,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2308""}"
2167,DN2316,DN2316_2,2016,Aug,19,NEG,Sample,EN2316,2316,cFG975,10779,N53,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_387,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2316""}"
2169,DN2312,DN2312_2,2016,Aug,19,NEG,Sample,EN2312,2312,cFG466,3593,N50,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2312""}"
2170,DN2306,DN2306_2,2016,Aug,19,NEG,Sample,EN2306,2306,cFG996,10831,N54,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2306""}"
2171,DN2343,DN2343_2,2016,Aug,19,NEG,Sample,EN2343,2343,cT990,1747,T50,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2343""}"
2172,DN2307,DN2307_2,2016,Aug,19,NEG,Sample,EN2307,2307,cFG995,10825,N54,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2307""}"
2173,DN2214,DN2214_2,2016,Aug,19,NEG,Sample,EN2214,2214,cM212,8582,M39,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2214""}"
2174,DN2345,DN2345_2,2016,Aug,19,NEG,Sample,EN2345,2345,cT767,1510,T73,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2345""}"
2175,DN2344,DN2344_2,2016,Aug,19,NEG,Sample,EN2344,2344,cLA3024,24,LA20a,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2344""}"
2176,DN2317,DN2317_2,2016,Aug,19,NEG,Sample,EN2317,2317,cT1253,2076,T87,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2317""}"
2177,DN2222,DN2222_2,2016,Aug,19,NEG,Sample,EN2222,2222,cT260,827,T75,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2222""}"
2178,DN2212,DN2212_2,2016,Aug,19,NEG,Sample,EN2212,2212,cLEG1036,1914,IngO,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2212""}"
2179,DN2209,DN2209_2,2016,Aug,19,NEG,Sample,EN2209,2209,cT454,1021,T35,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2209""}"
2180,DN2309,DN2309_2,2016,Aug,19,NEG,Sample,EN2309,2309,cT1037,1795,T51,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2309""}"
2181,DN2223,DN2223_2,2016,Aug,19,NEG,Sample,EN2223,2223,cLEG561,3743,IngF,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_388,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2223""}"
2185,DN2309,DN2309_2_rerun,2016,Aug,22,NEG,Sample,EN2309,2309,cT1037,1795,T51,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2309""}"
2186,DN2346,DN2346,2016,Aug,22,NEG,Sample,EN2346,2346,cFG974,10780,N53,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2346""}"
2187,DN2347,DN2347,2016,Aug,22,NEG,Sample,EN2347,2347,cFG975,10779,N53,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2347""}"
2188,DN2348,DN2348,2016,Aug,22,NEG,Sample,EN2348,2348,cLA3553,553,LA61,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2348""}"
2189,DN2349,DN2349,2016,Aug,22,NEG,Sample,EN2349,2349,cLA3547,547,LA61,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2349""}"
2190,DN2350,DN2350,2016,Aug,22,NEG,Sample,EN2350,2350,cLA3208,208,LA61,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2350""}"
2191,DN2351,DN2351,2016,Aug,22,NEG,Sample,EN2351,2351,cLA3564,564,LA61,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2351""}"
2192,DN2213,DN2213_3,2016,Aug,22,NEG,Sample,EN2213,2213,cM748,1277,M18,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2213""}"
2193,DN2313,DN2313_3,2016,Aug,22,NEG,Sample,EN2313,2313,cT192,722,T35,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_390,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2313""}"
2195,DN2314,DN2314_3,2016,Aug,22,NEG,Sample,EN2314,2314,cT262,818,T42,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_391,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2314""}"
2196,DN2210,DN2210_3,2016,Aug,22,NEG,Sample,EN2210,2210,cT1086,1839,T76,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_391,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2210""}"
2197,DN2308,DN2308_3,2016,Aug,22,NEG,Sample,EN2308,2308,cT261,818,T42,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_391,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2308""}"
2198,DN2345,DN2345_3,2016,Aug,22,NEG,Sample,EN2345,2345,cT767,1510,T73,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_391,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2345""}"
2199,DN2212,DN2212_3,2016,Aug,22,NEG,Sample,EN2212,2212,cLEG1036,1914,IngO,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_180,RN18_391,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2212""}"
2200,DN2309,DN2309_3,2016,Aug,22,NEG,Sample,EN2309,2309,cT1037,1795,T51,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_391,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2309""}"
2201,DN2223,DN2223_3,2016,Aug,22,NEG,Sample,EN2223,2223,cLEG561,3743,IngF,YCA318 2016_PM,2014_all_Inga.PRO,2015_08_04_NEG_40min_150mm,2015_03_24_45min_150mm,0,BN_179,RN18_391,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2223""}"
2205,DN2354,EN2354,2016,Oct,6,NEG,Sample,EN2354,2354,cM890,1198,M40,YCA318 2016_PM_O,2014_all_Inga.PRO,2016_10_06_neg_sens_40min_150mm,2015_03_24_45min_150mm,0,BN_11J,RN18_29J,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2354""}"
2206,DN2355,EN2355,2016,Oct,6,NEG,Sample,EN2355,2355,cM352,1573,M39,YCA318 2016_PM_O,2014_all_Inga.PRO,2016_10_06_neg_sens_40min_150mm,2015_03_24_45min_150mm,0,BN_11J,RN18_29J,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2355""}"
2207,DN2356,EN2356,2016,Oct,6,NEG,Sample,EN2356,2356,cM387,1104,M40,YCA318 2016_PM_O,2014_all_Inga.PRO,2016_10_06_neg_sens_40min_150mm,2015_03_24_45min_150mm,0,BN_11J,RN18_29J,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2356""}"
2208,DN2357,EN2357,2016,Oct,6,NEG,Sample,EN2357,2357,cM558,1425,M39,YCA318 2016_PM_O,2014_all_Inga.PRO,2016_10_06_neg_sens_40min_150mm,2015_03_24_45min_150mm,0,BN_11J,RN18_29J,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2357""}"
2209,DN2358,EN2358,2016,Oct,6,NEG,Sample,EN2358,2358,cM349,1110,M39,YCA318 2016_PM_O,2014_all_Inga.PRO,2016_10_06_neg_sens_40min_150mm,2015_03_24_45min_150mm,0,BN_11J,RN18_29J,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2358""}"
2210,DN2359,EN2359,2016,Oct,6,NEG,Sample,EN2359,2359,cM871,1208,M40,YCA318 2016_PM_O,2014_all_Inga.PRO,2016_10_06_neg_sens_40min_150mm,2015_03_24_45min_150mm,0,BN_11J,RN18_29J,,,,,raw file exists,mzXML exists,2017-01-26 17:16:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2359""}"
2211,DN2375,EN2375,2016,Oct,6,NEG,Sample,EN2375,2375,cT682,1437,T19,YCA318 2016_PM_O,2014_all_Inga.PRO,2016_10_06_neg_sens_40min_150mm,2015_03_24_45min_150mm,0,BN_11J,RN18_29J,,,,,raw file exists,mzXML exists,2017-02-09 16:40:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2375""}"
2213,IngG_100HOH,IngG_100HOH,2016,Oct,10,NEG,Sample,,0,,,IngG,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2214,IngG_90HOH_10ACN,IngG_90HOH_10ACN,2016,Oct,10,NEG,Sample,,0,,,IngG,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2215,IngG_80HOH_20ACN,IngG_80HOH_20ACN,2016,Oct,10,NEG,Sample,,0,,,IngG,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2216,IngG_90HOH_10ACN_buffer,IngG_90HOH_10ACN_buffer,2016,Oct,10,NEG,Sample,,0,,,IngG,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2217,IngG_back_extract,IngG_back_extract,2016,Oct,10,NEG,Sample,,0,,,IngG,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2218,IngA_100HOH,IngA_100HOH,2016,Oct,10,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2219,IngA_90HOH_10ACN,IngA_90HOH_10ACN,2016,Oct,10,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2220,IngA_80HOH_20ACN,IngA_80HOH_20ACN,2016,Oct,10,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2221,IngA_90HOH_10ACN_buffer,IngA_90HOH_10ACN_buffer,2016,Oct,10,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_004,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2230,IngA_80HOH_20ACN_2_uL,IngA_80HOH_20ACN_2_uL,2016,Oct,11,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_008,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2231,IngA_90HOH_10ACN_buffer_2_uL,IngA_90HOH_10ACN_buffer_2_uL,2016,Oct,11,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_008,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2232,IngA_back_extract_2_uL,IngA_back_extract_2_uL,2016,Oct,11,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_008,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2233,IngA_method_20_1_uL,IngA_method_20_1_uL,2016,Oct,11,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_008,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
2234,IngA_method_20_2_uL,IngA_method_20_2_uL,2016,Oct,11,NEG,Sample,,0,,,IngA,YCA318 2016_PM_O,2016_Gabby_amino_acids.PRO,2016_10_10_NEG_sens_20min,2016_10_10_25min_amide_with_clean,0,BN_amide_008,,,,,,raw file exists,mzXML exists,2017-02-09 16:14:50+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""0""}"
