id,sample,species_code_sample,rt,mz,pc_id,tic,date_update,error message
1055,DN1399,LA10_1399_2,15.1128,313.0559,LA10_8,6647.2353,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1056,DN1399,LA10_1399_2,12.1931,325.0911,LA10_9,2524.4067,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1057,DN1399,LA10_1399_2,8.3970,327.1062,LA10_91,4378.5385,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1058,DN1399,LA10_1399_2,18.5457,327.2163,LA10_5,2555.9527,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1059,DN1399,LA10_1399_2,19.7985,329.2322,LA10_98,4953.9073,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1060,DN1399,LA10_1399_2,8.4489,331.0644,LA10_29,3041.4259,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1061,DN1399,LA10_1399_2,9.5684,366.1173,LA10_104,4123.3912,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1062,DN1399,LA10_1399_2,8.2281,369.0704,LA10_60,1843.4030,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1063,DN1399,LA10_1399_2,26.0013,410.1017,LA10_106,5897.8755,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1064,DN1399,LA10_1399_2,11.9400,447.0923,LA10_59,9725.6237,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1065,DN1399,LA10_1399_2,6.5476,451.1246,LA10_14,46797.7336,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
1066,DN1399,LA10_1399_2,6.5474,452.1266,LA10_14,9708.1388,2017-05-10 18:33:32+00:00,"Multiple UPLCResult objects returned matching {""diva"": ""DN1399""}"
