id,extraction_number,percent_tyrosine,link_to_file,calibration_number,month,day,year,notes,updated,error message
201,1750,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:02+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1750""}"
401,1751,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:24+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1751""}"
402,1752,5.55%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:27+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1752""}"
403,1753,9.07%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:29+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1753""}"
404,1754,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:30+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1754""}"
405,1755,10.64%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:33+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1755""}"
406,1756,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:35+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1756""}"
407,1757,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:37+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1757""}"
408,1758,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:39+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1758""}"
409,1759,10.36%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:8_28_2015,1,Aug,28,2015,EN1750-1767 were all rerun due to issues with column,2017-01-09 15:18:41+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""1759""}"
877,2017,11.06%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2017""}"
964,2018,7.66%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,"Keep, duplicate extraction",2017-01-20 15:55:39+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2018""}"
965,2019,3.78%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,"Keep, duplicate extraction",2017-01-20 15:56:19+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2019""}"
966,2020,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2020""}"
967,2021,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2021""}"
968,2022,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2022""}"
969,2023,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2023""}"
970,2024,10.70%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2024""}"
971,2025,9.89%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2025""}"
972,2026,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_01_2016,12,Feb,1,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2026""}"
973,2027,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2027""}"
974,2028,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2028""}"
975,2029,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2029""}"
976,2030,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2030""}"
977,2031,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,"Keep, duplicate extraction",2017-01-20 15:58:26+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2031""}"
978,2032,7.15%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2032""}"
979,2033,8.40%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2033""}"
980,2034,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2034""}"
981,2035,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2035""}"
982,2036,11.02%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_03_2016,13,Feb,3,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2036""}"
983,2037,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2037""}"
984,2038,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2038""}"
985,2039,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2039""}"
986,2040,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2040""}"
987,2041,4.94%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,"Drop, duplicate extraction",2017-01-20 15:59:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2041""}"
988,2042,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2042""}"
989,2043,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2043""}"
990,2044,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2044""}"
991,2045,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2045""}"
992,2046,13.94%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_08_2016,14,Feb,8,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2046""}"
993,2050,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2050""}"
994,2051,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2051""}"
995,2052,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2052""}"
996,2053,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2053""}"
997,2054,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2054""}"
998,2055,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2055""}"
999,2056,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2056""}"
1000,2057,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2057""}"
1001,2058,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2058""}"
1002,2059,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2059""}"
1003,2060,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2060""}"
1004,2061,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_17_2016,15,Feb,17,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2061""}"
1005,2062,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2062""}"
1006,2063,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2063""}"
1007,2064,13.38%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,Mature leaf from same plant run,2017-01-20 16:00:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2064""}"
1008,2065,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2065""}"
1009,2066,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2066""}"
1010,2067,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2067""}"
1011,2068,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:17+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2068""}"
1012,2069,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2069""}"
1013,2070,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2070""}"
1014,2071,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2071""}"
1015,2072,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2072""}"
1016,2073,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2073""}"
1017,2074,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,17,Feb,23,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2074""}"
1018,2075,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2075""}"
1019,2076,7.82%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,"Drop, duplicate extraction",2017-01-20 16:01:21+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2076""}"
1020,2077,3.18%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,Mature leaf from same plant run,2017-01-20 16:02:25+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2077""}"
1021,2078,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2078""}"
1022,2079,4.42%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,Mature leaf from same plant run,2017-01-20 16:03:26+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2079""}"
1023,2080,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2080""}"
1024,2081,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2081""}"
1025,2082,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2082""}"
1026,2083,3.57%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2083""}"
1027,2084,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,Mature leaf from same plant run,2017-01-20 16:04:52+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2084""}"
1028,2085,10.36%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2085""}"
1029,2086,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,"Keep, duplicate extraction",2017-01-20 17:46:38+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2086""}"
1030,2087,6.74%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2087""}"
1031,2088,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,"Drop, different leaf from same plant run",2017-01-20 16:07:38+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2088""}"
1032,2089,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,"Drop, different leaf from same plant run",2017-01-20 16:08:03+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2089""}"
1033,2090,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,"Drop, different leaf from same plant run",2017-01-20 16:08:32+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2090""}"
1034,2091,5.39%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,"Drop, different leaf from same plant run",2017-01-20 16:08:34+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2091""}"
1035,2092,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2092""}"
1036,2093,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2093""}"
1037,2094,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2094""}"
1038,2095,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2095""}"
1039,2096,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_18_2016,16,Feb,18,2016,mature leaf from same plant run,2017-01-20 16:10:04+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2096""}"
1040,2097,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2097""}"
1041,2098,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2098""}"
1042,2099,10.71%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2099""}"
1043,2100,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2100""}"
1044,2101,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2101""}"
1045,2102,7.33%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,"Drop, duplicate extraction",2017-01-20 16:14:25+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2102""}"
1046,2103,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,"Drop, duplicate extraction",2017-01-20 16:14:42+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2103""}"
1047,2104,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2104""}"
1048,2105,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,"Was rerun, drop from analyses",2017-01-09 16:48:59+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2105""}"
1049,2106,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2_23_2016,18,Feb,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2106""}"
1050,2109,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2109""}"
1051,2110,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2110""}"
1052,2111,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2111""}"
1053,2112,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2112""}"
1054,2113,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2113""}"
1055,2114,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2114""}"
1056,2115,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2115""}"
1057,2116,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2116""}"
1058,2117,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2117""}"
1059,2118,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2118""}"
1060,2119,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2119""}"
1061,2120,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2120""}"
1062,2121,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2121""}"
1063,2122,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2122""}"
1064,2123,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2123""}"
1065,2124,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2124""}"
1066,2125,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2125""}"
1067,2126,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2126""}"
1068,2127,7.94%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2127""}"
1069,2128,16.59%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_26,19,Apr,26,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2128""}"
1070,2129,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_27,20,Apr,27,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2129""}"
1071,2130,9.25%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_27,20,Apr,27,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2130""}"
1072,2131,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_27,20,Apr,27,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2131""}"
1073,2132,12.84%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_27,20,Apr,27,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2132""}"
1074,2195,ND,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_27,20,Apr,27,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2195""}"
1075,2196,11.90%,K:HPLC-ELSD:Tyrosine_HPLC_Data_2015_2016:2016_04_27,20,Apr,27,2016,,2017-01-04 14:51:18+00:00,"Extraction could not be found matching {""extraction_number__iexact"": ""2196""}"
