id,collectors,site,year,month,species_code,plant_field,lh_field,location,day1,hour1,area1,day2,hour2,age2,area2,day3,hour3,age3,area3,day4,hour4,age4,area4,day5,hour5,age5,area5,final,age1percent,dt2,age2percent,dt3,age3percent,dt4,age4percent,dt5,age5percent,x_dt_d_field,x_exp_percent,spp,notes2,updated,error message
2019,P.D. Coley & T.A. Kursar,Manaus,2005,,M16,16,,,9,17,2,12,16,3,3,17,14,5,6,,,,,,,,,7,0,4,0,6,1,,,,,5,14,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 16}"
2020,P.D. Coley & T.A. Kursar,Manaus,2005,,M16,16,,,9,17,2,12,16,3,3,17,14,5,6,,,,,,,,,7,0,4,0,6,1,,,,,5,14,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 16}"
2021,P.D. Coley & T.A. Kursar,Manaus,2005,,M8,30,,,14,17,1,17,15,3,2,,,,,,,,,,,,,4,0,3,1,,,,,,,3,25,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 30}"
2022,P.D. Coley & T.A. Kursar,Manaus,2005,,M8,30,,,14,17,1,17,15,3,2,,,,,,,,,,,,,4,0,3,1,,,,,,,3,26,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 30}"
2023,P.D. Coley & T.A. Kursar,Manaus,2005,,M8,30,,,14,17,1,17,15,3,2,,,,,,,,,,,,,5,0,3,0,,,,,,,3,26,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 30}"
2024,P.D. Coley & T.A. Kursar,Manaus,2005,,M8,30,,,14,17,1,17,15,3,2,,,,,,,,,,,,,6,0,3,0,,,,,,,3,26,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 30}"
2025,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,35,,,14,17,1,17,15,3,3,,,,,,,,,,,,,14,0,2,0,,,,,,,2,52,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 35}"
2026,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,35,,,14,17,2,17,15,3,6,,,,,,,,,,,,,20,0,2,0,,,,,,,2,53,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 35}"
2027,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,35,,,14,17,1,17,15,3,3,,,,,,,,,,,,,14,0,2,0,,,,,,,2,53,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 35}"
2028,P.D. Coley & T.A. Kursar,Manaus,2005,,M35,35,,,14,17,2,17,15,3,7,,,,,,,,,,,,,20,0,2,0,,,,,,,2,52,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 35}"
2029,P.D. Coley & T.A. Kursar,Manaus,2006,,M46,46,,,29,14,0,32,13,3,1,35,13,3,1,,,,,,,,,1,0,3,1,,1,,,,,3,25,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 46}"
2030,P.D. Coley & T.A. Kursar,Manaus,2006,,M46,46,,,29,14,0,32,13,3,1,35,13,3,1,,,,,,,,,1,0,3,1,,1,,,,,3,28,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 46}"
2031,P.D. Coley & T.A. Kursar,Manaus,2006,,M46,46,,,29,14,1,32,13,3,1,35,13,3,2,,,,,,,,,2,0,3,1,,1,,,,,3,31,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 46}"
2032,P.D. Coley & T.A. Kursar,Manaus,2006,,M46,46,,,29,14,0,32,13,3,0,35,13,3,1,,,,,,,,,1,0,4,1,,1,,,,,4,21,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 46}"
2033,P.D. Coley & T.A. Kursar,Manaus,2006,,M46,46,,,29,14,0,32,13,3,1,35,13,3,1,,,,,,,,,1,0,3,1,,1,,,,,3,23,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 46}"
2034,P.D. Coley & T.A. Kursar,Manaus,2006,,M46,46,,,29,14,1,32,13,3,1,35,13,3,2,,,,,,,,,2,0,4,1,,1,,,,,4,22,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 46}"
2035,P.D. Coley & T.A. Kursar,Manaus,2006,,M55,55,,,30,10,1,32,11,2,1,38,10,6,2,,,,,,,,,3,0,4,0,4,1,,,,,4,17,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 55}"
2036,P.D. Coley & T.A. Kursar,Manaus,2006,,M55,55,,,30,10,1,32,11,2,1,38,10,6,4,,,,,,,,,5,0,3,0,3,1,,,,,3,28,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 55}"
2037,P.D. Coley & T.A. Kursar,Manaus,2006,,M55,55,,,30,10,1,32,11,2,1,38,10,6,5,,,,,,,,,6,0,3,0,3,1,,,,,3,27,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 55}"
2038,P.D. Coley & T.A. Kursar,Manaus,2006,,M20,20,,,1,14,4,4,13,3,5,7,12,3,7,,,,,,,,,9,0,5,1,,1,,,,,5,15,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 20}"
2039,P.D. Coley & T.A. Kursar,Manaus,2006,,M20,20,,,1,14,3,4,13,3,5,7,12,3,9,,,,,,,,,15,0,4,0,4,1,,,,,4,21,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 20}"
2040,P.D. Coley & T.A. Kursar,Manaus,2006,,M20,20,,,1,14,2,4,13,3,4,7,12,3,7,,,,,,,,,10,0,4,0,4,1,,,,,4,19,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 20}"
2041,P.D. Coley & T.A. Kursar,Manaus,2006,,M20,20,,,1,14,2,4,13,3,4,7,12,3,6,,,,,,,,,11,0,3,0,5,1,,,,,4,17,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 20}"
2042,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,2,14,5,7,11,5,10,,,,,,,,,,,,,13,0,5,1,,,,,,,5,14,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2043,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,2,14,7,7,11,5,14,,,,,,,,,,,,,21,0,4,1,,,,,,,4,17,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2044,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,2,14,4,7,11,5,11,,,,,,,,,,,,,19,0,3,1,,,,,,,3,23,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2045,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,2,14,3,7,11,5,9,,,,,,,,,,,,,18,0,3,1,,,,,,,3,23,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2046,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,7,6,10,3,10,8,11,2,12,,,,,,,,,14,1,6,1,,1,,,,,6,12,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2047,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,6,6,10,3,10,8,11,2,13,,,,,,,,,14,0,4,1,,1,,,,,4,20,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2048,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,4,6,10,3,6,8,11,2,11,,,,,,,,,13,0,5,0,3,1,,,,,4,21,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2049,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,3,6,10,3,5,8,11,2,7,,,,,,,,,12,0,4,0,3,1,,,,,3,23,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2050,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,5,6,11,3,8,8,11,2,12,,,,,,,,,15,0,4,1,4,1,,,,,4,20,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2051,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,4,6,11,3,7,8,11,2,11,,,,,,,,,16,0,3,0,4,1,,,,,3,22,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2052,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,2,6,11,3,4,8,11,2,6,,,,,,,,,21,0,4,0,3,0,,,,,3,25,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2053,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,13,6,11,3,14,,,,,,,,,,,,,15,1,,1,,0,,,,,,,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2054,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,15,6,11,3,19,,,,,,,,,,,,,23,1,,1,,0,,,,,,,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2055,P.D. Coley & T.A. Kursar,Manaus,2006,,M51,51,,,3,10,14,6,11,3,21,,,,,,,,,,,,,32,0,6,1,,0,,,,,6,13,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 51}"
2056,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,3,11,1,6,12,3,1,8,11,2,1,,,,,,,,,2,0,3,1,5,1,,,,,4,17,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2057,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,3,11,0,6,12,3,1,8,11,2,1,,,,,,,,,1,0,4,1,,1,,,,,4,21,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2058,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,3,11,0,6,12,3,1,8,11,2,1,,,,,,,,,1,0,3,0,6,1,,,,,4,17,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2059,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,3,12,0,6,12,3,0,8,12,2,0,,,,,,,,,0,0,2,1,3,1,,,,,2,34,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2060,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,3,12,0,6,12,3,0,8,12,2,0,,,,,,,,,0,0,2,0,2,1,,,,,2,41,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2061,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,3,12,0,6,12,3,0,8,12,2,0,,,,,,,,,0,0,2,1,,1,,,,,2,36,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2062,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,3,12,0,6,12,3,0,8,12,2,0,,,,,,,,,0,0,2,1,,1,,,,,2,35,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2063,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,3,12,0,6,12,3,0,8,12,2,0,,,,,,,,,0,0,2,0,3,1,,,,,2,32,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2064,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,4,14,1,7,14,3,1,,,,,,,,,,,,,1,0,,1,,0,,,,,,,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2065,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,4,14,1,7,14,3,1,,,,,,,,,,,,,2,0,9,1,,0,,,,,9,8,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2066,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,4,14,1,7,14,3,1,,,,,,,,,,,,,2,0,,1,,0,,,,,,,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2067,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,4,14,1,7,14,3,1,,,,,,,,,,,,,2,0,5,1,,0,,,,,5,15,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2068,P.D. Coley & T.A. Kursar,Manaus,2006,,M53,53,,,4,14,1,7,14,3,1,,,,,,,,,,,,,2,0,8,1,,0,,,,,8,9,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 53}"
2069,P.D. Coley & T.A. Kursar,Manaus,2006,,M45,45,,,5,13,1,8,10,3,3,,,-8,,,,,,,,,,14,0,3,0,,0,,,,,3,32,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 45}"
2070,P.D. Coley & T.A. Kursar,Manaus,2006,,M45,45,,,5,13,2,8,10,3,3,,,-8,,,,,,,,,,20,0,4,0,,0,,,,,4,21,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 45}"
2071,P.D. Coley & T.A. Kursar,Manaus,2006,,M45,45,,,5,13,1,8,10,3,3,,,-8,,,,,,,,,,22,0,3,0,,0,,,,,3,23,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 45}"
2072,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,6,13,0,8,12,2,1,,,-9,,,,,,,,,,1,0,3,1,,0,,,,,3,30,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2073,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,6,13,0,8,12,2,1,,,-9,,,,,,,,,,1,0,2,1,,0,,,,,2,36,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2074,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,6,13,0,8,12,2,0,,,-9,,,,,,,,,,1,0,2,1,,0,,,,,2,38,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2075,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,6,13,0,8,12,2,0,,,-9,,,,,,,,,,1,0,3,0,,0,,,,,3,31,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2076,P.D. Coley & T.A. Kursar,Manaus,2006,,M39,39,,,6,13,0,8,12,2,0,,,-9,,,,,,,,,,1,0,2,0,,0,,,,,2,37,,,2015-07-22 09:54:48+00:00,"Plant could not be found matching {""site__site"": ""Manaus"", ""plant_number"": 39}"
2309,P.D. Coley & T.A. Kursar,BCI,,,IngG,11,,,18,10,5,20,16,2,8,22,11,2,21,24,11,2,48,27,12,3,123,640,0,0,0,0,0,0,0,2,,2,36,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 11}"
2310,P.D. Coley & T.A. Kursar,BCI,,,IngG,11,,,18,10,14,20,16,2,20,22,11,2,47,24,11,2,94,27,12,3,218,2634,0,0,0,0,0,0,0,3,,2,32,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 11}"
2311,P.D. Coley & T.A. Kursar,BCI,,,IngG,11,,,18,10,9,20,16,2,18,22,11,2,34,24,11,2,82,27,12,3,210,1901,0,0,0,0,0,0,0,2,,3,32,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 11}"
2336,P.D. Coley & T.A. Kursar,BCI,,,IngP,4,,,16,10,15,17,16,1,24,18,10,1,30,20,16,2,66,22,11,2,124,557,0,2,0,3,0,2,0,2,,2,37,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 4}"
2337,P.D. Coley & T.A. Kursar,BCI,,,IngP,4,,,16,10,24,17,16,1,42,18,10,1,49,20,16,2,106,22,11,2,172,526,0,2,0,3,0,2,0,3,,2,36,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 4}"
2338,P.D. Coley & T.A. Kursar,BCI,,,IngP,4,,,16,10,16,17,16,1,25,18,10,1,30,20,16,2,65,22,11,2,126,740,0,2,0,3,0,2,0,2,,2,33,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 4}"
2344,P.D. Coley & T.A. Kursar,BCI,,,Pitr,15,,,2,8,102,4,8,2,168,6,9,2,277,11,8,5,306,0,0,0,0,310,0,3,1,3,1,0,1,0,,3,28,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 15}"
2345,P.D. Coley & T.A. Kursar,BCI,,,Pitr,15,,,2,8,101,4,8,2,153,6,9,2,297,11,8,5,471,0,0,0,0,474,0,3,0,2,1,0,1,0,,3,29,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 15}"
2346,P.D. Coley & T.A. Kursar,BCI,,,Pitr,15,,,2,8,34,4,8,2,51,6,9,2,77,0,0,0,0,0,0,0,0,79,0,3,1,3,1,0,,0,,3,22,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 15}"
2388,P.D. Coley & T.A. Kursar,BCI,,,IngM,98,,,5,11,10,7,12,2,44,10,11,3,206,12,12,2,227,,,,,238,,1,,1,,15,,0,,4,18,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 98}"
2389,P.D. Coley & T.A. Kursar,BCI,,,IngM,98,,,5,11,9,7,12,2,42,10,11,3,216,12,12,2,268,,,,,270,,1,,1,,7,,0,,2,37,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 98}"
2390,P.D. Coley & T.A. Kursar,BCI,,,IngM,99,,,5,11,20,7,12,2,50,10,11,3,78,12,12,2,70,,,,,79,,2,,5,,,,0,,2,40,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 99}"
2391,P.D. Coley & T.A. Kursar,BCI,,,IngM,99,,,5,11,51,7,12,2,165,10,11,3,247,12,12,2,235,,,,,263,,1,,5,,,,0,,2,39,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 99}"
2392,P.D. Coley & T.A. Kursar,BCI,,,IngM,101,,,5,12,8,7,12,2,37,10,11,3,106,,,,,,,,,109,,1,,2,,,,,,1,62,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 101}"
2393,P.D. Coley & T.A. Kursar,BCI,,,IngM,101,,,5,12,20,7,12,2,88,10,11,3,212,,,,,,,,,197,,1,,2,,,,,,2,53,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 101}"
2394,P.D. Coley & T.A. Kursar,BCI,,,IngM,101,,,5,12,12,7,12,2,50,10,11,3,148,,,,,,,,,149,,1,,2,,,,,,1,62,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 101}"
2395,P.D. Coley & T.A. Kursar,BCI,,,IngM,101,,,5,12,22,7,12,2,90,10,11,3,281,,,,,,,,,301,,1,,2,,,,,,1,64,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 101}"
2401,P.D. Coley & T.A. Kursar,BCI,,,IngQ,57,,,25,10,4,26,7,1,6,27,13,1,13,28,10,1,24,29,9,1,40,157,0,0,0,1,0,1,0,1,,1,82,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 57}"
2402,P.D. Coley & T.A. Kursar,BCI,,,IngQ,57,,,25,10,7,26,7,1,12,27,13,1,22,28,10,1,37,29,9,1,61,307,0,0,0,1,0,1,0,1,,1,73,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 57}"
2403,P.D. Coley & T.A. Kursar,BCI,,,IngQ,57,,,25,10,10,26,7,1,17,27,13,1,31,28,10,1,55,29,9,1,92,552,0,0,0,1,0,1,0,1,,1,74,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 57}"
2404,P.D. Coley & T.A. Kursar,BCI,,,IngQ,57,,,25,10,22,26,7,1,36,27,13,1,62,28,10,1,108,29,9,1,171,368,0,1,0,2,0,1,0,1,,1,67,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 57}"
2405,P.D. Coley & T.A. Kursar,BCI,,,IngQ,57,,,25,10,26,26,7,1,41,27,13,1,71,28,10,1,125,29,9,1,205,492,0,0,0,2,0,1,0,1,,1,67,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 57}"
2406,P.D. Coley & T.A. Kursar,BCI,,,IngQ,57,,,25,10,26,26,7,1,41,27,13,1,68,28,10,1,117,29,9,1,217,515,0,0,0,2,0,1,0,1,,1,68,,,2015-07-22 09:54:49+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 57}"
2426,P.D. Coley & T.A. Kursar,BCI,,,IngS,102,,,10,12,25,14,19,4,119,19,14,5,328,31,14,12,642,,,,,707,0,2,0,3,0,,1,,,3,31,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 102}"
2427,P.D. Coley & T.A. Kursar,BCI,,,IngS,102,,,10,12,33,14,19,4,169,19,14,5,335,31,14,12,767,,,,,1118,0,2,0,5,0,,1,,,3,23,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 102}"
2428,P.D. Coley & T.A. Kursar,BCI,,,IngS,103,,,18,13,24,19,16,1,26,21,12,2,46,23,12,2,100,27,19,4,670,1700,0,,0,2,0,2,0,,,2,41,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 103}"
2462,P.D. Coley & T.A. Kursar,BCI,,,IngA,97,,,5,10,6,7,11,2,14,10,11,3,34,12,12,2,62,,,,,144,0,2,0,2,0,2,0,,,2,40,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 97}"
2463,P.D. Coley & T.A. Kursar,BCI,,,IngA,97,,,5,10,7,7,11,2,14,10,11,3,31,12,12,2,65,,,,,158,0,2,0,3,0,2,0,,,2,37,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 97}"
2464,P.D. Coley & T.A. Kursar,BCI,,,IngA,97,,,5,10,8,7,11,2,15,10,11,3,30,12,12,2,74,,,,,176,0,2,0,3,0,2,0,,,2,36,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 97}"
2465,P.D. Coley & T.A. Kursar,BCI,,,IngA,97,,,5,10,9,7,11,2,18,10,11,3,40,12,12,2,82,,,,,188,0,2,0,3,0,2,0,,,2,38,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 97}"
2466,P.D. Coley & T.A. Kursar,BCI,,,IngA,100,,,5,11,5,7,12,2,10,10,11,3,16,,,,,,,,,29,0,2,0,4,1,,,,,3,24,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 100}"
2467,P.D. Coley & T.A. Kursar,BCI,,,IngA,100,,,5,11,11,7,12,2,16,10,11,3,28,,,,,,,,,39,0,4,0,4,1,,,,,4,21,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 100}"
2468,P.D. Coley & T.A. Kursar,BCI,,,IngA,100,,,5,11,14,7,12,2,23,10,11,3,39,,,,,,,,,60,0,3,0,4,1,,,,,3,23,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 100}"
2480,P.D. Coley & T.A. Kursar,BCI,,,IngV,1468,,,19,12,8,21,12,2,14,23,11,2,25,26,2,3,45,28,10,2,68,147,0,2,0,2,0,3,0,4,,4,22,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 1468}"
2481,P.D. Coley & T.A. Kursar,BCI,,,IngV,1468,,,19,12,11,21,12,2,15,23,11,2,26,26,2,3,50,28,10,2,78,152,0,4,0,2,0,3,0,4,,3,23,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 1468}"
2482,P.D. Coley & T.A. Kursar,BCI,,,IngV,1475,,,1,10,5,4,10,3,19,9,2,5,102,13,3,4,140,15,10,2,177,180,0,2,0,2,1,9,1,,,4,18,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 1475}"
2483,P.D. Coley & T.A. Kursar,BCI,,,IngV,1475,,,1,10,10,4,10,3,31,9,2,5,160,13,3,4,384,15,10,2,563,627,0,2,0,2,0,3,1,,,2,35,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 1475}"
2484,P.D. Coley & T.A. Kursar,BCI,,,IngV,1460,,,6,4,11,9,3,3,23,13,4,4,59,15,10,2,88,17,4,2,98,98,0,3,0,3,1,4,1,,,3,24,,,2015-07-22 09:54:50+00:00,"Plant could not be found matching {""site__site"": ""BCI"", ""plant_number"": 1460}"
